Ticker,Environmental,Governance,Social,ESG Score,Environmental Weight,Governance Weight ,Social weight,,,,,,,,,,,,,,,,,,,,
TEL UN Equity,4.18,7.25,2.72,14.15,0.30,0.51,0.19,,,,,,,,,,,,,,,,,,,,
TER UW Equity,4.71,7.63,5.39,17.72,0.27,0.43,0.30,,,,,,,,,,,,,,,,,,,,
TFC UN Equity,0.91,7.39,4.27,12.57,0.07,0.59,0.34,,,,,,,,,,,,,,,,,,,,
TGT UN Equity,6.09,7.16,3.29,16.54,0.37,0.43,0.20,,,,,,,,,,,,,,,,,,,,
TJX UN Equity,1.88,7.26,2.59,11.73,0.16,0.62,0.22,,,,,,,,,,,,,,,,,,,,
TKO UN Equity,0.00,6.58,1.25,7.83,0.00,0.84,0.16,,,,,,,,,,,,,,,,,,,,
TMO UN Equity,1.50,7.36,3.53,12.39,0.12,0.59,0.29,,,,,,,,,,,,,,,,,,,,
TMUS UW Equity,7.13,6.70,4.54,18.37,0.39,0.36,0.25,,,,,,,,,,,,,,,,,,,,
TPL UN Equity,1.25,7.61,4.50,13.36,0.09,0.57,0.34,,,,,,,,,,,,,,,,,,,,
TPR UN Equity,1.88,7.91,4.30,14.09,0.13,0.56,0.31,,,,,,,,,,,,,,,,,,,,
TRGP UN Equity,4.32,7.41,3.58,15.31,0.28,0.48,0.23,,,,,,,,,,,,,,,,,,,,
TRMB UW Equity,2.67,7.38,7.02,17.07,0.16,0.43,0.41,,,,,,,,,,,,,,,,,,,,
TROW UW Equity,4.45,7.29,9.05,20.79,0.21,0.35,0.44,,,,,,,,,,,,,,,,,,,,
TRV UN Equity,1.05,7.95,2.02,11.02,0.10,0.72,0.18,,,,,,,,,,,,,,,,,,,,
TSCO UW Equity,4.18,8.53,6.54,19.26,0.22,0.44,0.34,,,,,,,,,,,,,,,,,,,,
TSLA UW Equity,4.25,5.54,5.05,14.84,0.29,0.37,0.34,,,,,,,,,,,,,,,,,,,,
TSN UN Equity,1.19,7.19,1.20,9.58,0.12,0.75,0.13,,,,,,,,,,,,,,,,,,,,
TT UN Equity,5.42,7.92,1.73,15.07,0.36,0.53,0.11,,,,,,,,,,,,,,,,,,,,
TTD UQ Equity,0.00,6.23,0.91,7.14,0.00,0.87,0.13,,,,,,,,,,,,,,,,,,,,
TTWO UW Equity,4.51,6.71,1.63,12.85,0.35,0.52,0.13,,,,,,,,,,,,,,,,,,,,
TXN UW Equity,5.22,7.29,6.69,19.20,0.27,0.38,0.35,,,,,,,,,,,,,,,,,,,,
TXT UN Equity,5.89,7.31,2.40,15.60,0.38,0.47,0.15,,,,,,,,,,,,,,,,,,,,
TYL UN Equity,4.40,6.93,4.50,15.83,0.28,0.44,0.28,,,,,,,,,,,,,,,,,,,,
UAL UW Equity,8.00,7.97,0.87,16.84,0.48,0.47,0.05,,,,,,,,,,,,,,,,,,,,
UBER UN Equity,6.99,7.56,5.83,20.38,0.34,0.37,0.29,,,,,,,,,,,,,,,,,,,,
UDR UN Equity,5.14,7.61,7.09,19.84,0.26,0.38,0.36,,,,,,,,,,,,,,,,,,,,
UHS UN Equity,1.04,4.75,1.18,6.97,0.15,0.68,0.17,,,,,,,,,,,,,,,,,,,,
ULTA UW Equity,5.24,7.56,7.50,20.29,0.26,0.37,0.37,,,,,,,,,,,,,,,,,,,,
UNH UN Equity,5.97,7.47,5.72,19.16,0.31,0.39,0.30,,,,,,,,,,,,,,,,,,,,
UNP UN Equity,3.79,8.15,3.14,15.08,0.25,0.54,0.21,,,,,,,,,,,,,,,,,,,,
UPS UN Equity,2.03,7.00,2.66,11.69,0.17,0.60,0.23,,,,,,,,,,,,,,,,,,,,
URI UN Equity,1.73,7.94,1.27,10.94,0.16,0.73,0.12,,,,,,,,,,,,,,,,,,,,
